STT,Thuong hieu,Loai,Noi dung,Nguon (URL),Ngay bao cao
3,"Lavender By Chang","Bai viet moi","Cảnh báo tài khoản giả mạo Lavender By Chang trên Facebook và TikTok dùng giá bất thường để lừa đảo.","https://lamercy.vn/lavender-by-chang-lua-dao-su-that-hay-chieu-tro/",2026-05-26
4,"Bệnh viện thẩm mỹ Kangnam","Tin xau","Đầu 2026, Mega Kangnam Premium (159 Phan Bội Châu) bị phạt 45 triệu đồng + đình chỉ 18 tháng vì phẫu thuật không có giấy phép KCB - lần thứ ba tái phạm.","https://baogialai.com.vn/xu-phat-50-trieu-dong-doi-voi-vien-tham-my-mega-kangnam-post346185.html",2026-05-26
4,"Bệnh viện thẩm mỹ Kangnam","Tin xau","Kangnam Sài Gòn để xảy ra sự cố y khoa sau hút mỡ nhưng không báo cáo Sở Y tế theo quy định.","https://plo.vn/tham-my-kangnam-sai-gon-de-xay-ra-su-co-y-khoa-nhung-khong-bao-cao-so-y-te-post798629.html",2026-05-26
4,"Bệnh viện thẩm mỹ Kangnam","Tin xau","Bệnh viện thẩm mỹ Kangnam Hà Nội bị xử phạt 45 triệu đồng do vi phạm quảng cáo.","https://thuongtruong.com.vn/news/benh-vien-tham-my-kangnam-ha-noi-bi-xu-phat-45-trieu-dong-do-vi-pham-quang-cao-90317.html",2026-05-26
4,"Bệnh viện thẩm mỹ Kangnam","Bai viet moi","Bệnh viện Kangnam đầu tư thiết bị hút mỡ 20 tỷ đồng, vận hành 9 cơ sở tại 8 tỉnh thành trong 2026.","https://benhvienthammykangnam.com.vn/",2026-05-26
5,"Thẩm mỹ viện Xuân Hương","Tin xau","Ngày 26/5, Sở Y tế Tiền Giang + Công an tỉnh buộc dừng hoạt động TMV Xuân Hương (277 Trần Ngọc Giải, TP Mỹ Tho): không đăng ký KD, không chứng chỉ hành nghề, có sản phẩm tiêm không chứng từ.","https://tuoitre.vn/dung-hoat-dong-co-so-kinh-doanh-tham-my-xuan-huong-o-my-tho-20250526085936039.htm",2026-05-26
5,"Thẩm mỹ viện Xuân Hương","Tin xau","Báo CAND: Tiền Giang buộc tạm dừng hoạt động cơ sở thẩm mỹ Xuân Hương vì nhiều vi phạm.","https://cand.com.vn/y-te/tien-giang-buoc-tam-dung-hoat-dong-doi-voi-co-so-tham-my-xuan-huong-i769533",2026-05-26
5,"Thẩm mỹ viện Xuân Hương","Tin xau","Thẩm mỹ viện Xuân Hương quảng cáo dịch vụ không được cấp phép.","https://dautuvietnam.com.vn/doanh-nghiep/tham-my-vien-xuan-huong-quang-cao-dich-vu-khong-duoc-cap-phep-a8642.html",2026-05-26
5,"Thẩm mỹ viện Xuân Hương","Bai viet moi","VOV đưa tin: Tiền Giang dừng cơ sở thẩm mỹ Xuân Hương - TIN MỚI NHẤT ngày 26/5.","https://vov.gov.vn/dung-hoat-dong-co-so-tham-my-xuan-huong-tien-giang-vi-ton-tai-nhieu-vi-pham-dtnew-1087125",2026-05-26
6,"Viện thẩm mỹ Bally","Tin xau","Bally bị phát hiện thực hiện dịch vụ xâm lấn (tiêm filler, tạo cằm Vilne) vượt phạm vi chuyên môn trong giấy phép, vi phạm Luật Khám chữa bệnh.","https://conglyxahoi.net.vn/doi-song/tham-my-quoc-te-bally-thuc-hien-dich-vu-lam-dep-trai-quy-dinh-16692.html",2026-05-26
6,"Viện thẩm mỹ Bally","Tin xau","Bally bị phản ánh vi phạm Luật Quảng cáo, tự thổi phồng chất lượng dịch vụ.","https://thuongtruong.com.vn/news/tham-my-bally-vi-pham-luat-quang-cao-tu-thoi-phong-ve-chat-luong-dich-vu-7508.html",2026-05-26
7,"Viện thẩm mỹ Dr. Hải Lê","Khong co tin","Không phát hiện tin xấu / bài viết mới đáng chú ý trong ngày 26/05/2026.","",2026-05-26
8,"Thẩm mỹ viện Ngọc Dung","Tin xau","Chi nhánh Ngọc Dung (Nguyễn Thái Học) bị Thanh tra Sở Y tế TP.HCM phạt 94 triệu đồng + tước giấy phép 3 tháng vì hành nghề ngoài phạm vi và không lưu hồ sơ bệnh nhân đúng quy định.","https://taichinhdoanhnghiep.net.vn/tham-my-vien-ngoc-dung-chi-nhanh-nguyen-thai-hoc-bi-tuoc-giay-phep-d34345.html",2026-05-26
8,"Thẩm mỹ viện Ngọc Dung","Tin xau","Công ty TNHH Thẩm mỹ Ngọc Dung nợ bảo hiểm xã hội hơn 450 triệu đồng.","https://doanhnghiepthuonghieu.vn/tham-my-ngoc-dung-angel-beauty-no-bao-hiem-xa-hoi-nhieu-doanh-nghiep-bi-xu-phat-p51705.html",2026-05-26
8,"Thẩm mỹ viện Ngọc Dung","Bai viet moi","Ngọc Dung bổ sung máy Helios IV tại toàn bộ chi nhánh, mở rộng lên 18 chi nhánh toàn quốc trong 2026.","https://thammyvienngocdung.com/",2026-05-26
9,"Thẩm mỹ viện VietCharm","Khong co tin","Không phát hiện tin xấu / bài viết mới đáng chú ý trong ngày 26/05/2026.","",2026-05-26
10,"Thẩm mỹ viện Dr. Thái Hà","Khong co tin","Không phát hiện tin xấu / bài viết mới đáng chú ý trong ngày 26/05/2026.","",2026-05-26
11,"Thẩm mỹ viện VITA Clinic","Khong co tin","Không phát hiện tin xấu / bài viết mới đáng chú ý trong ngày 26/05/2026.","",2026-05-26
12,"Thẩm mỹ Hongkong","Khong co tin","Không phát hiện tin xấu / bài viết mới đáng chú ý trong ngày 26/05/2026.","",2026-05-26
13,"Thẩm mỹ Seoul","Tin xau","Chủ sở hữu hệ thống Seoul Spa bị Sở Y tế TP.HCM xử phạt do vi phạm khám chữa bệnh và quảng cáo vượt phạm vi chuyên môn.","https://taichinhdoanhnghiep.net.vn/chu-so-huu-he-thong-tham-my-vien-seoul-spa-bi-so-y-te-tphcm-xu-phat-d9872.html",2026-05-26
13,"Thẩm mỹ Seoul","Tin xau","Seoul ID (Biên Hòa, Đồng Nai) bị đình chỉ 18 tháng + phạt gần 90 triệu đồng từ 20/11/2024 đến 20/5/2026.","https://daibieunhandan.vn/dong-nai-tham-my-seoul-id-o-bien-hoa-bi-dinh-chi-18-thang-phat-gan-90-trieu-dong-post397440.html",2026-05-26
13,"Thẩm mỹ Seoul","Tin xau","Seoul Center International tiếp tục bị phạt 30 triệu và 49 triệu đồng vì vi phạm quảng cáo nhiều lần.","https://thuongtruong.com.vn/news/tham-my-quoc-te-seoul-center-tiep-tuc-bi-xu-phat-vi-vi-pham-ve-quang-cao-128953.html",2026-05-26
14,"Thẩm mỹ Thu Cúc","Tin xau","Thu Cúc Sài Gòn (55A đường 3/2, Q.10) bị phạt 35 triệu đồng vì hành nghề vượt quá phạm vi chuyên môn được phép.","https://www.sggp.org.vn/benh-vien-tham-my-kho-thi-va-nhieu-nha-thuoc-bi-xu-phat-post851127.html",2026-05-26
14,"Thẩm mỹ Thu Cúc","Tin xau","Chi nhánh Công ty CP Y khoa & Thẩm mỹ Thu Cúc bị phạt 8 triệu đồng do không đảm bảo điều kiện nhân lực.","https://www.sggp.org.vn/phat-20-trieu-dong-phong-kham-da-khoa-quoc-te-thu-cuc-vi-vi-pham-phong-chong-dich-covid-19-post594116.html",2026-05-26
14,"Thẩm mỹ Thu Cúc","Bai viet moi","Hành trình 29 năm phát triển của hệ thống thẩm mỹ Thu Cúc - bài tổng hợp trên VnExpress.","https://vnexpress.net/hanh-trinh-29-nam-phat-trien-cua-he-thong-tham-my-thu-cuc-4905537.html",2026-05-26
